id,category,subCategory,name,price,description,image,detailImage,allergens,isNew,caffeineR,caffeineL,caffeineBeanNote,servingSize,totalServing,calories,sugar,protein,satFat,sodium,caffeine,tempOptions,sizeOptions,beanOptions,cupOptions
1,커피/음료,커피,아메리카노,4700,진하게 로스팅한 커피 원두에서 에스프레소를 추출하여 투썸 고유의 원두 풍미를 느낄 수 있는 에스프레소 음료,menu_americano.png,product_americano.png,해당없음,false,184,276,아로마노트 원두 변경 시 (R)200mg/(L)300mg 적용됨,355ml,1잔,15,0/0,1g미만/1.2,0/0,5/0.3,184,핫|아이스,레귤러|라지,블랙그라운드|아로마노트|디카페인,일회용컵|머그컵|개인 텀블러
2,커피/음료,커피,카페 라떼,5200,부드러운 우유와 에스프레소가 어우러져 고소하고 부드러운 풍미가 느껴지는 커피 음료,menu_cafe_latte.png,product_cafe_latte.png,우유,false,184,276,아로마노트 원두 변경 시 (R)200mg/(L)300mg 적용됨,355ml,1잔,180,13/10,8/13,5/33,130/6.5,184,핫|아이스,레귤러|라지,블랙그라운드|아로마노트|디카페인,일회용컵|머그컵|개인 텀블러
3,커피/음료,커피,카푸치노,5200,풍성한 우유 거품과 에스프레소의 조화로 부드러우면서도 진한 커피의 맛을 즐길 수 있는 음료,menu_cappuccino.png,product_cappuccino.png,우유,false,184,276,아로마노트 원두 변경 시 (R)200mg/(L)300mg 적용됨,355ml,1잔,140,10/8,7/12,4/27,110/5.5,184,핫|아이스,레귤러|라지,블랙그라운드|아로마노트|디카페인,일회용컵|머그컵|개인 텀블러
4,커피/음료,커피,바닐라 라떼,5700,바닐라 시럽의 달콤한 풍미와 부드러운 우유 그리고 에스프레소가 조화롭게 어우러진 음료,menu_vanilla_latte.png,product_vanilla_latte.png,우유,false,184,276,아로마노트 원두 변경 시 (R)200mg/(L)300mg 적용됨,355ml,1잔,250,28/22,8/13,5/33,140/7,184,핫|아이스,레귤러|라지,블랙그라운드|아로마노트|디카페인,일회용컵|머그컵|개인 텀블러
5,커피/음료,커피,카페 모카,5700,초콜릿 소스와 에스프레소 그리고 부드러운 우유가 어우러져 달콤하고 진한 풍미의 커피 음료,menu_cafe_mocha.png,product_cafe_mocha.png,우유|대두,false,184,276,아로마노트 원두 변경 시 (R)200mg/(L)300mg 적용됨,355ml,1잔,320,35/27,9/15,8/53,160/8,184,핫|아이스,레귤러|라지,블랙그라운드|아로마노트|디카페인,일회용컵|머그컵|개인 텀블러
6,커피/음료,커피,콜드브루,5000,장시간 저온 추출하여 깔끔하고 깊은 풍미를 느낄 수 있는 콜드브루 커피,menu_coldbrew.png,product_coldbrew.png,해당없음,false,0,245,,500ml,1잔,10,0/0,1g미만/1.2,0/0,3/0.2,245,아이스,레귤러|라지,,일회용컵|머그컵|개인 텀블러
7,커피/음료,커피,카라멜 마키아또,5700,바닐라 시럽과 우유 위에 에스프레소와 카라멜 드리즐을 올린 달콤한 커피 음료,menu_caramel_macchiato.png,product_caramel_macchiato.png,우유,false,184,276,아로마노트 원두 변경 시 (R)200mg/(L)300mg 적용됨,355ml,1잔,270,32/25,8/13,5/33,150/7.5,184,핫|아이스,레귤러|라지,블랙그라운드|아로마노트|디카페인,일회용컵|머그컵|개인 텀블러
8,커피/음료,NEW,딸기 듬뿍 라떼,6800,신선한 딸기와 부드러운 우유가 만나 달콤상큼한 맛을 즐길 수 있는 시즌 음료,menu_strawberry_latte.png,product_strawberry_latte.png,우유,true,0,0,,355ml,1잔,290,38/30,6/10,4/27,90/4.5,0,아이스,레귤러|라지,,일회용컵|머그컵|개인 텀블러
9,커피/음료,NEW,생딸기 듬뿍 주스,7200,생딸기를 듬뿍 넣어 갈아 만든 상큼하고 신선한 과일 주스,menu_strawberry_juice.png,product_strawberry_juice.png,해당없음,true,0,0,,400ml,1잔,180,35/27,2/3,0/0,15/0.8,0,아이스,레귤러|라지,,일회용컵|개인 텀블러
10,커피/음료,NEW,딸기 밀크 쉐이크,6500,진한 딸기와 바닐라 아이스크림이 어우러진 달콤한 밀크 쉐이크,menu_strawberry_milkshake.png,product_strawberry_milkshake.png,우유|대두,true,0,0,,400ml,1잔,420,52/40,8/13,12/80,160/8,0,아이스,레귤러|라지,,일회용컵|개인 텀블러
